,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,9.63801621666,0.793014006377,0.0,135_top_u,False,,,3.60631029145,True,"[0.46918053372375712, 0.46904066785793685, 0.46852765682562358]",True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
1,empty,2,9.55989523518,0.842508079525,0.12,none_r,False,,,3.60060791648,True,"[0.90180641721997268, 0.90162823426976835, 0.90097468081918186]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,interactor,3,9.82364064476,0.796167943988,0.06,135_top_u,True,3.42326037493,,3.64740504161,True,"[0.6279185288918594, 0.62776460381833266, 0.62720002531730312]",False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
3,empty,4,9.36723185681,0.745491415059,-0.084,none_d,False,,,3.60908629163,True,"[0.14888475609126273, 0.1487732583855752, 0.14836429832401454]",True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
4,interactor,5,9.48034706675,0.818450276426,0.12,45_bottom_l,True,3.38163649989,,3.59775274992,True,"[0.83914789232547871, 0.83897525895535585, 0.83834206069143313]",False,True,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
5,interactor,6,9.37241636811,0.82494085196,0.06,45_bottom_d,True,3.37239845842,,3.58704912523,True,"[0.70122963141682981, 0.70106921327895133, 0.70048081900538417]",False,True,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
6,interactor,7,9.37398273324,0.944455413008,-0.084,45_bottom_l,True,3.37258466659,,3.58492404176,True,"[0.63880414183419454, 0.63864925263677796, 0.63808113784625253]",False,True,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
7,interactor,8,9.47420104798,0.796087178999,-0.084,135_bottom_d,False,,,3.63200466684,True,"[0.2703752615588777, 0.27025300360483806, 0.26980457625736864]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
8,interactor,9,9.59858164249,0.809903293669,0.06,135_bottom_d,True,3.36352020851,,3.5726656667,True,"[0.66283953626493397, 0.66268251828541702, 0.662106595380338]",False,True,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
9,empty,10,9.65369426967,0.810605940693,-0.168,none_l,True,3.36919700005,left,3.5776730834,True,"[0.1041200457536946, 0.10401251279734036, 0.10361809495547636]",False,False,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
10,interactor,11,9.77181355471,0.733454934506,-0.168,135_bottom_r,False,,,3.61584366672,True,"[-0.07526722066377356, -0.075358865534630559, -0.075695007805865688]",True,False,space,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
11,interactor,12,9.3815155267,0.786017796632,-0.084,135_bottom_r,False,,,3.58657633327,True,"[0.2460192719184211, 0.24589917114116178, 0.2454586560564902]",True,False,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
12,interactor,13,9.94662966572,0.724655061513,-0.168,45_top_r,False,,,3.61086245836,True,"[-0.095356652333642544, -0.095446517910938611, -0.095776133949194597]",True,False,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
13,empty,14,9.16250252429,0.757536675647,0.12,none_r,False,,,3.58778066677,True,"[0.68230660337423199, 0.68214786122313531, 0.68156561426581486]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
14,interactor,15,9.36581055543,0.68081613005,0.06,135_bottom_d,False,,,3.59902525018,True,"[0.34033639939280169, 0.34020794507621299, 0.3397367902224353]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
15,empty,16,9.53025630418,0.818779948667,0.0,none_r,False,,,3.58651799988,True,"[0.53357568465386063, 0.53343011539735974, 0.53289618501975999]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
16,empty,17,9.38026888624,0.827347225822,-0.084,none_u,False,,,3.64889029181,True,"[0.34653312389617197, 0.34640412074414528, 0.34593095282855124]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
17,interactor,18,9.2865215928,0.690397046643,0.12,45_top_r,True,3.38755970821,,3.60214733309,True,"[0.51256842895274368, 0.51242472028022634, 0.51189761429901548]",False,True,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
18,empty,19,9.91222109342,0.765839460276,0.12,none_d,False,,,3.61832533334,True,"[0.70352892710166692, 0.7033683053183053, 0.70277916409780783]",True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
19,interactor,20,9.70681071354,0.847141782467,-0.168,135_top_u,True,3.38239487493,,3.59366620844,True,"[0.1910119094138012, 0.19089668056360742, 0.19047403511652328]",False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
