trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
1,8,45_bottom_d,True,3.5044126249995315,,3.546435708340141,faster,True,False,False,right,True,0.4339506250107661,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)"
2,8,none_r,False,,,3.9056989583186805,slower,True,True,True,right,True,0.47251750000577886,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
3,8,135_top_l,False,,,3.5716091666690772,faster,True,True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
4,8,none_l,True,,left,,,False,False,False,down,False,0.5499022500007413,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
5,8,45_bottom_l,True,3.6196449583221693,,,,False,False,False,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)"
6,8,none_u,False,,,,,False,True,True,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
7,8,135_top_u,False,,,3.941931041656062,slower,True,True,False,up,True,0.6370556666806806,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
8,8,45_top_u,False,,,3.567016375003732,faster,True,True,False,up,True,0.637436583332601,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
9,8,135_bottom_r,False,,,3.9139557916641934,slower,True,True,False,right,True,0.46904558333335444,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
10,8,none_d,True,,left,,,False,False,False,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
11,8,135_top_u,True,3.7424044583458453,,3.8922030416724738,slower,True,False,False,right,True,0.6571039999980712,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)"
12,8,45_top_r,True,3.615437666652724,,,,False,False,False,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)"
13,8,135_top_l,False,,,3.5653610000008484,faster,True,True,False,left,True,0.6775997500080848,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
14,8,135_bottom_d,True,3.615715916661429,,,,False,False,False,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(0, 1)"
15,8,45_bottom_l,False,,,3.563807166661718,faster,True,True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
16,8,45_top_r,True,3.504400125006214,,3.547472416656092,faster,True,False,False,down,True,0.5934220000053756,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)"
17,8,45_top_u,True,3.6150501666706987,,,,False,False,False,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(0, 1)"
18,8,45_bottom_d,False,,,,,False,True,False,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
19,8,135_bottom_d,False,,,,,False,True,False,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
20,8,135_bottom_r,True,3.6282012083393056,,,,False,False,False,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)"
