trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
1,7.5,135_top_u,True,3.665490875020623,,3.7720209165709093,slower,True,False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,8.0,none_l,True,,left,3.720517541631125,slower,True,False,False,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
3,7.5,135_top_u,True,3.618007499957457,,,,False,False,True,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
4,8.0,45_bottom_d,False,,,3.7155899167992175,slower,True,True,False,down,True,1.4125882500084117,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
5,8.5,45_bottom_l,False,,,3.7281338333850726,faster,True,True,False,left,True,1.3543359999312088,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
6,8.5,45_bottom_d,False,,,3.7213246250757948,slower,True,True,False,down,True,1.1066218331689015,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
7,8.0,135_bottom_r,False,,,,,False,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
8,8.5,45_bottom_d,False,,,3.8374174166237935,slower,True,True,False,space,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
9,8.5,none_l,False,,,3.7321538749383762,slower,True,True,True,left,True,0.9820963750826195,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
10,8.5,135_top_u,False,,,3.7210114584304392,faster,True,True,False,up,True,0.7214417083887383,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
11,7.5,45_top_u,True,3.613999833352864,,,,False,False,True,left,False,0.7318617916898802,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
12,7.5,135_top_l,True,3.607029000064358,,,,False,False,True,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
13,7.5,135_top_u,False,,,3.7119466668227687,slower,True,True,False,up,True,0.8023849165765569,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
14,8.5,none_d,False,,,3.716390624991618,faster,True,True,True,down,True,0.8059575833613053,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
